iat_min,iat_max,iat_mean,iat_std,iat_q1,iat_q2,iat_q3,iat_mad,byte_min,byte_max,byte_mean,byte_std,byte_q1,byte_q2,byte_q3,byte_mad,byte_sec,pac_sec,byte_total,duration,numPacket,fiat_min,fiat_max,fiat_mean,fiat_std,fiat_q1,fiat_q2,fiat_q3,fiat_mad,fbyte_min,fbyte_max,fbyte_mean,fbyte_std,fbyte_q1,fbyte_q2,fbyte_q3,fbyte_mad,fbyte_sec,fpac_sec,fbyte_total,fduration,fnumPacket,biat_min,biat_max,biat_mean,biat_std,biat_q1,biat_q2,biat_q3,biat_mad,bbyte_min,bbyte_max,bbyte_mean,bbyte_std,bbyte_q1,bbyte_q2,bbyte_q3,bbyte_mad,bbyte_sec,bpac_sec,bbyte_total,bduration,bnumPacket,appName,category
3.0994415283203125e-05,37.18860197067261,9.304263710975647,16.09903124147097,0.010569214820861816,0.014210939407348633,9.307905435562134,0.0071544647216796875,52,52,52.0,0.0,52.0,52.0,52.0,0.0,6.986044465111585,0.13434700894445356,260,37.21705484390259,5,0.014370918273925781,37.20268392562866,18.608527421951294,18.594156503677368,9.31144917011261,18.608527421951294,27.905605673789978,18.594156503677368,52,52,52.0,0.0,52.0,52.0,52.0,0.0,4.191626679066951,0.08060820536667214,156,37.21705484390259,3,37.20294189453125,37.20294189453125,37.20294189453125,0.0,37.20294189453125,37.20294189453125,37.20294189453125,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,2.7954778494355517,0.053759189412222144,104,37.20294189453125,2,Snapchat,Video Chat
2.288818359375e-05,35.142688035964966,8.79146945476532,15.213883876115398,0.00838690996170044,0.011583447456359863,8.79466599225998,0.00598454475402832,52,52,52.0,0.0,52.0,52.0,52.0,0.0,7.393530778266819,0.14218328419743884,260,35.16587781906128,5,0.01201486587524414,35.153862953186035,17.58293890953064,17.570924043655396,8.797476887702942,17.58293890953064,26.368400931358337,17.570924043655396,52,52,52.0,0.0,52.0,52.0,52.0,0.0,4.4361184669600915,0.0853099705184633,156,35.16587781906128,3,35.154680013656616,35.154680013656616,35.154680013656616,0.0,35.154680013656616,35.154680013656616,35.154680013656616,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,2.9583543346034977,0.05689142951160572,104,35.154680013656616,2,Snapchat,Video Chat
0.0,5.008939027786255,0.8637796475337102,1.8104500559134946,6.198883056640625e-05,0.06926417350769043,0.09906816482543945,0.06919717788696289,52,1500,170.5909090909091,274.1464426881507,52.0,80.0,85.0,28.0,200.53191240376458,1.1755134753218281,11259,56.14567708969116,66,0.00017786026000976562,5.008939027786255,1.55960214138031,2.203025132521756,0.06951409578323364,0.071197509765625,5.001924216747284,0.06939446926116943,52,774,127.94594594594595,170.69190609952474,52.0,52.0,85.0,0.0,84.31637563899294,0.6589999785895096,4734,56.14567708969116,37,0.0,5.07844090461731,2.0026927505220686,2.3658308462954176,0.0007770657539367676,0.23842298984527588,5.071926712989807,0.23842251300811768,52,1500,225.0,358.5965940180962,52.0,80.0,151.0,28.0,116.36119131352812,0.5171608502823473,6525,56.07539701461792,29,Snapchat,Video Chat
1.4781951904296875e-05,12.61218786239624,3.1583287119865417,5.458189821954231,0.007893681526184082,0.01055610179901123,3.160991132259369,0.00528872013092041,52,52,52.0,0.0,52.0,52.0,52.0,0.0,20.5805050479106,0.39577894322904994,260,12.633314847946167,5,0.010607004165649414,12.622707843780518,6.3166574239730835,6.306050419807434,3.1636322140693665,6.3166574239730835,9.4696826338768,6.306050419807434,52,52,52.0,0.0,52.0,52.0,52.0,0.0,12.34830302874636,0.23746736593742998,156,12.633314847946167,3,12.622780084609985,12.622780084609985,12.622780084609985,0.0,12.622780084609985,12.622780084609985,12.622780084609985,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,8.239072478716432,0.15844370151377754,104,12.622780084609985,2,Snapchat,Video Chat
2.002716064453125e-05,25.41115403175354,6.358079731464386,11.000298419724482,0.007933974266052246,0.010572433471679688,6.360718190670013,0.00527644157409668,52,52,52.0,0.0,52.0,52.0,52.0,0.0,10.22321247063526,0.19660023981990885,260,25.432318925857544,5,0.010592937469482422,25.42172598838806,12.716159462928772,12.70556652545929,6.363376200199127,12.716159462928772,19.068942725658417,12.70556652545929,52,52,52.0,0.0,52.0,52.0,52.0,0.0,6.133927482381156,0.11796014389194531,156,25.432318925857544,3,25.421726942062378,25.421726942062378,25.421726942062378,0.0,25.421726942062378,25.421726942062378,25.421726942062378,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,4.090988792265064,0.07867286138971276,104,25.421726942062378,2,Snapchat,Video Chat
0.0,22.83181619644165,0.47936824321746824,3.195760958854869,3.731250762939453e-05,0.00013399124145507812,0.008340835571289062,0.00013196468353271484,52,1452,401.52941176470586,532.2799776669644,52.0,83.0,636.5,31.0,854.3744935022754,2.127800525862684,20478,23.968412160873413,51,0.0,22.846768140792847,0.9986838400363922,4.559341468085446,6.80685043334961e-05,0.00026047229766845703,0.010906040668487549,0.00023484230041503906,52,1452,291.28,456.09372019355845,52.0,60.0,150.0,8.0,303.8165378300405,1.0430394734621,7282,23.968412160873413,25,0.0,22.84258008003235,0.9582912826538086,4.470734095938299,6.29425048828125e-05,0.0003609657287597656,0.014681100845336914,0.0003609657287597656,52,1452,507.53846153846155,576.8890195075674,52.0,91.0,978.25,39.0,550.8137343566831,1.085265011615168,13196,23.957282066345215,26,Snapchat,Video Chat
1.2874603271484375e-05,25.411207914352417,6.358351945877075,11.000172453125911,0.0081864595413208,0.011093497276306152,6.3612589836120605,0.005631566047668457,52,52,52.0,0.0,52.0,52.0,52.0,0.0,10.222774793419186,0.19659182295036898,260,25.4334077835083,5,0.011288881301879883,25.42211890220642,12.71670389175415,12.70541501045227,6.363996386528015,12.71670389175415,19.069411396980286,12.70541501045227,52,52,52.0,0.0,52.0,52.0,52.0,0.0,6.133664876051512,0.11795509377022138,156,25.4334077835083,3,25.422483921051025,25.422483921051025,25.422483921051025,0.0,25.422483921051025,25.422483921051025,25.422483921051025,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,4.09086697912642,0.07867051882935423,104,25.422483921051025,2,Snapchat,Video Chat
3.0040740966796875e-05,37.19150900840759,9.303354263305664,16.10123426529903,0.008154809474945068,0.01093900203704834,9.306138455867767,0.005492448806762695,52,52,52.0,0.0,52.0,52.0,52.0,0.0,6.986727384592171,0.13436014201138788,260,37.213417053222656,5,0.011044979095458984,37.2023720741272,18.606708526611328,18.59566354751587,9.308876752853394,18.606708526611328,27.904540300369263,18.59566354751587,52,52,52.0,0.0,52.0,52.0,52.0,0.0,4.192036430755302,0.08061608520683274,156,37.213417053222656,3,37.202523946762085,37.202523946762085,37.202523946762085,0.0,37.202523946762085,37.202523946762085,37.202523946762085,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,2.795509254931926,0.05375979336407549,104,37.202523946762085,2,Snapchat,Video Chat
1.5974044799804688e-05,22.85137701034546,5.718429982662201,9.891712626948408,0.00818723440170288,0.011163473129272461,5.7214062213897705,0.0056999921798706055,52,52,52.0,0.0,52.0,52.0,52.0,0.0,11.366756294485468,0.21859146720164363,260,22.873719930648804,5,0.01143193244934082,22.862287998199463,11.436859965324402,11.425428032875061,5.724145948886871,11.436859965324402,17.149573981761932,11.425428032875061,52,52,52.0,0.0,52.0,52.0,52.0,0.0,6.820053776691281,0.13115488032098618,156,22.873719930648804,3,22.86279296875,22.86279296875,22.86279296875,0.0,22.86279296875,22.86279296875,22.86279296875,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,4.5488755526130324,0.08747837601178908,104,22.86279296875,2,Snapchat,Video Chat
1.0967254638671875e-05,37.190786838531494,9.30308324098587,16.10097377811161,0.008007526397705078,0.010767579078674316,9.30584329366684,0.005425572395324707,52,52,52.0,0.0,52.0,52.0,52.0,0.0,6.986930925613409,0.13436405626179632,260,37.21233296394348,5,0.010684013366699219,37.20164895057678,18.60616648197174,18.59548246860504,9.30842524766922,18.60616648197174,27.90390771627426,18.59548246860504,52,52,52.0,0.0,52.0,52.0,52.0,0.0,4.192158555368046,0.08061843375707779,156,37.21233296394348,3,37.201459884643555,37.201459884643555,37.201459884643555,0.0,37.201459884643555,37.201459884643555,37.201459884643555,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,2.795589214038622,0.05376133103920427,104,37.201459884643555,2,Snapchat,Video Chat
2.193450927734375e-05,28.999767065048218,7.255351006984711,12.554145236733643,0.008070170879364014,0.010807514190673828,7.2580883502960205,0.005420088768005371,52,52,52.0,0.0,52.0,52.0,52.0,0.0,8.958904943044747,0.17228663352009127,260,29.021404027938843,5,0.010774850845336914,29.010629177093506,14.510702013969421,14.499927163124084,7.260738432407379,14.510702013969421,21.760665595531464,14.499927163124084,52,52,52.0,0.0,52.0,52.0,52.0,0.0,5.375342965826848,0.10337198011205476,156,29.021404027938843,3,29.010519981384277,29.010519981384277,29.010519981384277,0.0,29.010519981384277,29.010519981384277,29.010519981384277,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,3.584906443136339,0.06894050852185267,104,29.010519981384277,2,Snapchat,Video Chat
1.1920928955078125e-05,6.471379041671753,1.6231922507286072,2.799105342809733,0.008008480072021484,0.010689020156860352,1.625872790813446,0.005346059799194336,52,52,52.0,0.0,52.0,52.0,52.0,0.0,40.04454800152185,0.7700874615677279,260,6.492769002914429,5,0.010715961456298828,6.48205304145813,3.2463845014572144,3.2356685400009155,1.6285502314567566,3.2463845014572144,4.864218771457672,3.2356685400009155,52,52,52.0,0.0,52.0,52.0,52.0,0.0,24.02672880091311,0.4620524769406367,156,6.492769002914429,3,6.482083082199097,6.482083082199097,6.482083082199097,0.0,6.482083082199097,6.482083082199097,6.482083082199097,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,16.044225086469766,0.30854279012441854,104,6.482083082199097,2,Snapchat,Video Chat
0.0,25.411893844604492,3.6333160059792653,8.891068382385074,5.0067901611328125e-06,2.5033950805664062e-05,0.01064157485961914,2.5033950805664062e-05,40,83,52.875,12.464324089175474,49.0,52.0,52.0,0.0,16.631796223924784,0.31454933756831743,423,25.43321204185486,8,9.059906005859375e-06,25.42251992225647,8.477737347284952,11.981771456907966,0.005346059799194336,0.010683059692382812,12.716601490974426,0.010673999786376953,40,52,46.0,6.0,40.0,46.0,52.0,6.0,7.234634764071301,0.15727466878415872,184,25.43321204185486,4,0.0,25.422550916671753,8.474183956782023,11.984305207376066,4.76837158203125e-07,9.5367431640625e-07,12.711275935173035,9.5367431640625e-07,52,83,59.75,13.423393758658799,52.0,52.0,59.75,0.0,9.401101872813154,0.1573406171182118,239,25.42255187034607,4,Snapchat,Video Chat
2.5987625122070312e-05,4.1793999671936035,1.2010887024250436,1.6084383869380177,0.0026373863220214844,0.0509340763092041,2.78568696975708,0.05088400840759277,52,441,229.875,179.24699265259653,52.0,207.0,391.25,155.0,195.46096551637456,0.850292400288742,11034,56.45116901397705,48,0.002647876739501953,4.1793999671936035,2.454398652781611,1.5270469964999767,1.2051960229873657,2.8439998626708984,4.11504054069519,1.2854571342468262,52,441,259.0,190.79613902452706,52.0,402.5,441.0,38.5,110.11286583739208,0.425146200144371,6216,56.45116901397705,24,0.0026268959045410156,4.243828058242798,2.452184127724689,1.5399057806016416,1.1797200441360474,2.7929859161376953,4.1660109758377075,1.3874850273132324,52,378,200.75,161.7382788128195,52.0,52.0,378.0,0.0,85.42517607107018,0.42553014232164477,4818,56.40023493766785,24,Snapchat,Video Chat
3.0040740966796875e-05,35.14371418952942,8.791364252567291,15.21453697186994,0.008141934871673584,0.010856389999389648,8.794078707695007,0.00541841983795166,52,52,52.0,0.0,52.0,52.0,52.0,0.0,7.393619253236882,0.1421849856391708,260,35.165457010269165,5,0.010875940322875977,35.15458106994629,17.582728505134583,17.571852564811707,8.79680222272873,17.582728505134583,26.368654787540436,17.571852564811707,52,52,52.0,0.0,52.0,52.0,52.0,0.0,4.436171551942129,0.0853109913835025,156,35.165457010269165,3,35.15456008911133,35.15456008911133,35.15456008911133,0.0,35.15456008911133,35.15456008911133,35.15456008911133,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,2.958364426588648,0.05689162358824323,104,35.15456008911133,2,Snapchat,Video Chat
4.291534423828125e-05,14.662566184997559,3.671050488948822,6.3459560647581545,0.008040904998779297,0.010796427726745605,3.6738060116767883,0.0054215192794799805,52,52,52.0,0.0,52.0,52.0,52.0,0.0,17.70610352422918,0.3405019908505612,260,14.684201955795288,5,0.010928869247436523,14.673273086547852,7.342100977897644,7.3311721086502075,3.6765149235725403,7.342100977897644,11.007687032222748,7.3311721086502075,52,52,52.0,0.0,52.0,52.0,52.0,0.0,10.62366211453751,0.2043011945103367,156,14.684201955795288,3,14.673452138900757,14.673452138900757,14.673452138900757,0.0,14.673452138900757,14.673452138900757,14.673452138900757,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,7.087630028402507,0.13630057746927898,104,14.673452138900757,2,Snapchat,Video Chat
1.9073486328125e-05,14.662536859512329,3.6711565256118774,6.345877992522507,0.00803065299987793,0.01103508472442627,3.674160957336426,0.005674958229064941,52,52,52.0,0.0,52.0,52.0,52.0,0.0,17.705592106064273,0.3404921558858514,260,14.68462610244751,5,0.011388063430786133,14.673238039016724,7.342313051223755,7.330924987792969,3.6768505573272705,7.342313051223755,11.00777554512024,7.330924987792969,52,52,52.0,0.0,52.0,52.0,52.0,0.0,10.623355263638564,0.20429529353151085,156,14.68462610244751,3,14.673905849456787,14.673905849456787,14.673905849456787,0.0,14.673905849456787,14.673905849456787,14.673905849456787,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,7.087410882076088,0.13629636311684784,104,14.673905849456787,2,Snapchat,Video Chat
7.200241088867188e-05,14.662585973739624,3.6710667610168457,6.345958089023393,0.008075356483459473,0.010804533958435059,3.6737959384918213,0.0053969621658325195,52,52,52.0,0.0,52.0,52.0,52.0,0.0,17.70602504161371,0.3405004815694944,260,14.684267044067383,5,0.010937929153442383,14.67332911491394,7.342133522033691,7.331195592880249,3.676535725593567,7.342133522033691,11.007731318473816,7.331195592880249,52,52,52.0,0.0,52.0,52.0,52.0,0.0,10.623615024968226,0.20430028894169663,156,14.684267044067383,3,14.673451900482178,14.673451900482178,14.673451900482178,0.0,14.673451900482178,14.673451900482178,14.673451900482178,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,7.087630143564413,0.136300579683931,104,14.673451900482178,2,Snapchat,Video Chat
