iat_min,iat_max,iat_mean,iat_std,iat_q1,iat_q2,iat_q3,iat_mad,byte_min,byte_max,byte_mean,byte_std,byte_q1,byte_q2,byte_q3,byte_mad,byte_sec,pac_sec,byte_total,duration,numPacket,fiat_min,fiat_max,fiat_mean,fiat_std,fiat_q1,fiat_q2,fiat_q3,fiat_mad,fbyte_min,fbyte_max,fbyte_mean,fbyte_std,fbyte_q1,fbyte_q2,fbyte_q3,fbyte_mad,fbyte_sec,fpac_sec,fbyte_total,fduration,fnumPacket,biat_min,biat_max,biat_mean,biat_std,biat_q1,biat_q2,biat_q3,biat_mad,bbyte_min,bbyte_max,bbyte_mean,bbyte_std,bbyte_q1,bbyte_q2,bbyte_q3,bbyte_mad,bbyte_sec,bpac_sec,bbyte_total,bduration,bnumPacket,appName,category
1.9073486328125e-06,45.39389991760254,0.9496579218883904,6.416222129626119,2.384185791015625e-05,0.00026702880859375,0.0101318359375,0.0002551078796386719,52,1452,406.5,529.3847466635207,52.0,91.0,670.25,39.0,436.7845608474757,1.0745007646924372,20325,46.53323817253113,50,1.9073486328125e-06,45.40919804573059,2.022698350574659,9.25186039219626,0.00012755393981933594,0.00032711029052734375,0.010776996612548828,0.0003108978271484375,52,1452,301.125,462.7008854270759,52.0,71.5,167.5,19.5,155.34565063301554,0.5158842694330114,7227,46.52206206321716,24,3.814697265625e-06,45.405076026916504,1.8608831691741943,8.89017363860874,2.7894973754882812e-05,0.00030303001403808594,0.015868186950683594,0.00029921531677246094,52,1452,503.7692307692308,567.1016940205229,52.0,178.0,979.5,126.0,281.5437361564726,0.5588744190004801,13098,46.52207922935486,26,Instagram,Audio Chat
7.867813110351562e-06,19.723849058151245,3.319571852684021,7.336342614454287,0.00013107061386108398,0.048397064208984375,0.09665250778198242,0.048323988914489746,52,91,57.57142857142857,13.64715713836342,52.0,52.0,52.0,0.0,20.23353301190316,0.3514509456161839,403,19.917431116104126,7,0.00033402442932128906,19.820629119873047,9.910481572151184,9.910147547721863,4.955407798290253,9.910481572151184,14.865555346012115,9.910147547721863,52,52,52.0,0.0,52.0,52.0,52.0,0.0,7.870455076490214,0.15135490531711948,156,19.820963144302368,3,7.390975952148438e-05,19.723849058151245,6.606905698776245,9.275163647072516,0.04843401908874512,0.09679412841796875,9.910321593284607,0.09672021865844727,52,91,61.75,16.887495373796554,52.0,52.0,61.75,0.0,12.461708564810213,0.20180904558397106,247,19.820717096328735,4,Instagram,Audio Chat
2.9802322387695312e-05,18.2812762260437,3.6606894016265867,7.3102950072893975,0.00026917457580566406,0.010596990585327148,0.01127481460571289,0.010327816009521484,52,91,58.5,14.534441853748634,52.0,52.0,52.0,0.0,19.17671572158168,0.3278071063518236,351,18.303447008132935,6,18.292850017547607,18.292850017547607,18.292850017547607,0.0,18.292850017547607,18.292850017547607,18.292850017547607,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,5.685281402309477,0.10933233465979764,104,18.292850017547607,2,2.9802322387695312e-05,18.2812762260437,6.09739073117574,8.61530919045588,0.005447983741760254,0.010866165161132812,9.146071195602417,0.010836362838745117,52,91,61.75,16.887495373796554,52.0,52.0,61.75,0.0,13.503043672823187,0.21867277202952531,247,18.29217219352722,4,Instagram,Audio Chat
4.1961669921875e-05,18.168037176132202,3.640901803970337,7.263573534313068,4.982948303222656e-05,0.011276960372924805,0.025103092193603516,0.01123499870300293,52,91,60.5,14.326548781894402,52.0,52.0,61.0,0.0,19.940114814640435,0.32958867462215596,363,18.204509019851685,6,18.204509019851685,18.204509019851685,18.204509019851685,0.0,18.204509019851685,18.204509019851685,18.204509019851685,0.0,52,64,58.0,6.0,55.0,58.0,61.0,6.0,6.372047709361682,0.10986289154071865,116,18.204509019851685,2,4.1961669921875e-05,18.168037176132202,6.064394076665242,8.558574228009453,0.012572526931762695,0.025103092193603516,9.096570134162903,0.02506113052368164,52,91,61.75,16.887495373796554,52.0,52.0,61.75,0.0,13.576514371013257,0.21986258090709726,247,18.193182229995728,4,Instagram,Audio Chat
2.288818359375e-05,10.00426697731018,2.506810486316681,4.328661102183021,0.007890522480010986,0.01147603988647461,2.5103960037231445,0.006208062171936035,52,60,55.2,3.9191835884530852,52.0,52.0,60.0,0.0,27.525016500702222,0.49864160327359097,276,10.027241945266724,5,0.010535955429077148,10.00426697731018,5.007401466369629,4.996865510940552,2.508968710899353,5.007401466369629,7.505834221839905,4.996865510940552,52,60,54.666666666666664,3.7712361663282534,52.0,52.0,56.0,0.0,16.375759073987346,0.29955656842659784,164,10.014802932739258,3,10.01672887802124,10.01672887802124,10.01672887802124,0.0,10.01672887802124,10.01672887802124,10.01672887802124,0.0,52,60,56.0,4.0,54.0,56.0,58.0,4.0,11.181294948069423,0.19966598121552542,112,10.01672887802124,2,Instagram,Audio Chat
5.0067901611328125e-06,18.430706024169922,3.075520674387614,6.867049411883291,8.32676887512207e-05,0.005454540252685547,0.011271953582763672,0.0054340362548828125,52,91,57.57142857142857,13.64715713836342,52.0,52.0,52.0,0.0,21.839120519012813,0.37933956236498684,403,18.453124046325684,7,0.0002300739288330078,18.441426038742065,9.22082805633545,9.220597982406616,4.610529065132141,9.22082805633545,13.831127047538757,9.220597982406616,52,52,52.0,0.0,52.0,52.0,52.0,0.0,8.459110128011522,0.16267519476945236,156,18.4416561126709,3,4.100799560546875e-05,18.430706024169922,6.147480010986328,8.685553711400965,0.00586700439453125,0.011693000793457031,9.22119951248169,0.011651992797851562,52,91,61.75,16.887495373796554,52.0,52.0,61.75,0.0,13.393021723729593,0.21689104006039828,247,18.442440032958984,4,Instagram,Audio Chat
3.314018249511719e-05,18.09198498725891,3.6228476047515867,7.234570320458679,0.00024890899658203125,0.010638952255249023,0.011332035064697266,0.010390043258666992,52,91,58.5,14.534441853748634,52.0,52.0,52.0,0.0,19.37702262384109,0.33123115596309555,351,18.114238023757935,6,18.103599071502686,18.103599071502686,18.103599071502686,0.0,18.103599071502686,18.103599071502686,18.103599071502686,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,5.744714053224308,0.1104752702543136,104,18.103599071502686,2,3.314018249511719e-05,18.09198498725891,6.034301996231079,8.526070559968165,0.005460500717163086,0.010887861251831055,9.051436424255371,0.010854721069335938,52,91,61.75,16.887495373796554,52.0,52.0,61.75,0.0,13.644218235142576,0.22095899975939393,247,18.102905988693237,4,Instagram,Audio Chat
7.152557373046875e-06,10.972002983093262,1.8132760971784592,3.896509818999826,7.230043411254883e-05,0.022759437561035156,0.0678567886352539,0.022702336311340332,52,289,85.57575757575758,53.91577623902286,52.0,80.0,84.0,28.0,48.6688155969855,0.568721995290553,2824,58.02483510971069,33,0.0017178058624267578,10.972002983093262,3.223601950539483,4.743659817620785,0.028184831142425537,0.07137596607208252,8.354970097541809,0.06198704242706299,52,152,69.15789473684211,24.822025783342497,52.0,52.0,84.0,0.0,22.645475812478384,0.3274459972885002,1314,58.02483510971069,19,0.010430097579956055,11.008193969726562,4.462600616308359,5.084428946962589,0.03661203384399414,0.27687978744506836,10.988170146942139,0.2664496898651123,52,289,107.85714285714286,71.78823734016711,80.0,80.0,101.5,15.0,26.028286226055613,0.24132185904952225,1510,58.01380801200867,14,Instagram,Audio Chat
5.2928924560546875e-05,18.905838012695312,3.7856024265289308,7.560119307849696,0.0003349781036376953,0.010836124420166016,0.010950088500976562,0.01050114631652832,52,91,58.5,14.534441853748634,52.0,52.0,52.0,0.0,18.54394415748706,0.31699049841858223,351,18.928012132644653,6,18.917176008224487,18.917176008224487,18.917176008224487,0.0,18.917176008224487,18.917176008224487,18.917176008224487,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,5.497649329624287,0.10572402556969783,104,18.917176008224487,2,5.2928924560546875e-05,18.905838012695312,6.3056873480478925,8.90965313512287,0.005612015724182129,0.011171102523803711,9.458504557609558,0.011118173599243164,52,91,61.75,16.887495373796554,52.0,52.0,61.75,0.0,13.056995818040676,0.211449324988513,247,18.917062044143677,4,Instagram,Audio Chat
1.1920928955078125e-06,10.003265857696533,0.6284635215997696,2.180082255054836,9.071826934814453e-05,0.009874939918518066,0.02768474817276001,0.009826302528381348,52,1432,190.7422680412371,317.8091977139067,52.0,82.0,120.0,30.0,306.6672289523977,1.6077570645542414,18502,60.33249807357788,97,4.0531158447265625e-06,10.003265857696533,1.1383490202561863,2.8335225799266417,0.0023679733276367188,0.027885913848876953,0.06807518005371094,0.027252912521362305,52,1432,151.46296296296296,264.61416446529336,52.0,72.0,110.25,20.0,135.5654126906097,0.895040015318856,8179,60.33249807357788,54,5.0067901611328125e-06,10.031495094299316,1.436233951931908,3.1302624139100255,0.011081039905548096,0.017853498458862305,0.21663641929626465,0.01749897003173828,52,1432,240.06976744186048,368.1570314195654,56.0,82.0,210.0,30.0,171.1320874674372,0.7128431426038748,10323,60.32182598114014,43,Instagram,Audio Chat
