iat_min,iat_max,iat_mean,iat_std,iat_q1,iat_q2,iat_q3,iat_mad,iat_skew,iat_kurt,byte_min,byte_max,byte_mean,byte_std,byte_q1,byte_q2,byte_q3,byte_mad,byte_skew,byte_kurt,byte_sec,pac_sec,byte_total,duration,numPacket,fiat_min,fiat_max,fiat_mean,fiat_std,fiat_q1,fiat_q2,fiat_q3,fiat_mad,fiat_skew,fiat_kurt,fbyte_min,fbyte_max,fbyte_mean,fbyte_std,fbyte_q1,fbyte_q2,fbyte_q3,fbyte_mad,fbyte_skew,fbyte_kurt,fbyte_sec,fpac_sec,fbyte_total,fduration,fnumPacket,biat_min,biat_max,biat_mean,biat_std,biat_q1,biat_q2,biat_q3,biat_mad,biat_skew,biat_kurt,bbyte_min,bbyte_max,bbyte_mean,bbyte_std,bbyte_q1,bbyte_q2,bbyte_q3,bbyte_mad,bbyte_skew,bbyte_kurt,bbyte_sec,bpac_sec,bbyte_total,bduration,bnumPacket,appName,category
-0.0003218650817871094,90.05173516273499,4.90992935283764,20.31313782000242,0.00012993812561035156,0.0007228851318359375,0.023301124572753906,0.0009438991546630859,3.944027230748715,16.55616087390357,52,1432,135.10526315789474,243.4254224358841,52.0,59.5,93.0,7.5,4.273155187208913,21.78195666496491,28.260438549194973,0.209173483613052,5134,181.66738605499268,38,2.6941299438476562e-05,90.10487914085388,10.090157058503893,28.221703153183356,0.00041371583938598633,0.006321549415588379,0.28407108783721924,0.006255149841308594,2.474659846477932,7.1244982263286545,52,1432,189.0,332.8323428109904,52.0,59.0,93.0,7.0,2.8603681778853236,10.451541458362703,19.77174377398449,0.10461240092055286,3591,181.62282705307007,19,2.1457672119140625e-06,90.05173516273499,10.083635555373299,28.214580158205663,1.3589859008789062e-05,0.017942428588867188,0.2059604525566101,0.01793849468231201,2.474631626737202,7.124390527631814,52,243,81.21052631578948,43.877315740198796,52.0,60.0,94.5,8.0,2.5230362334655525,9.841159783758902,8.50112261113435,0.10468005807618448,1543,181.50543999671936,19,Instagram,Text Chat
-0.002117156982421875,0.5332369804382324,0.029546831593368992,0.09937375969642583,3.0994415283203125e-06,3.8504600524902344e-05,0.0017423033714294434,3.6597251892089844e-05,3.880065536826002,17.503948509703395,52,1432,691.3582089552239,672.6535046797769,52.0,220.0,1432.0,168.0,0.1692493096933069,1.0613723082272295,23753.25188812601,34.357373038242756,46321,1.9500908851623535,67,1.3828277587890625e-05,0.5475008487701416,0.0557168824332101,0.15080713173051224,2.4557113647460938e-05,6.103515625e-05,0.004867076873779297,4.1961669921875e-05,2.5975075224474398,8.024717746241144,52,1432,1065.1666666666667,597.0211470291482,455.75,1432.0,1432.0,0.0,-1.0409194889435556,2.1250637656037124,19663.6989033501,18.460678050399093,38346,1.9500908851623535,36,1.9073486328125e-06,0.5124750137329102,0.045939834912618,0.1156837140370482,2.86102294921875e-06,4.410743713378906e-06,0.004298746585845947,2.2649765014648438e-06,2.8224064420744828,10.284337038877709,52,1432,257.258064516129,461.8078058367333,52.0,52.0,56.0,0.0,2.0638162787840115,5.43754529319585,5786.553953425692,22.49318778134125,7975,1.37819504737854,31,Instagram,Text Chat
-0.0007951259613037109,37.8365421295166,1.115140598490491,4.3950859000174916,0.000743865966796875,0.035488128662109375,0.10135293006896973,0.03515625,5.380474310642944,35.45409336158326,52,1432,182.26605504587155,212.12700204012026,52.0,78.0,274.0,26.0,2.5566532342647084,12.815531433083908,164.19991437068242,0.9008803878997524,39734,241.98550987243652,218,6.699562072753906e-05,37.88291811943054,2.4692398966575158,6.2992622164214955,0.0071176886558532715,0.1879739761352539,0.6006465554237366,0.18690788745880127,3.4246835616887683,15.521837575444312,52,496,123.32323232323232,134.5685082017821,52.0,78.0,78.0,26.0,2.0470281837602555,5.461504693677421,50.45343420122972,0.4091154055141078,12209,241.98550987243652,99,4.76837158203125e-06,37.9155969619751,2.049469475018776,5.821267994379495,0.02726846933364868,0.08363997936248779,0.4601333737373352,0.07483839988708496,3.8138462555146604,18.78770100549462,52,1432,231.30252100840337,249.14440329078946,52.0,78.0,400.0,26.0,2.20763212430542,10.148634211786886,113.81614349843866,0.4920661608106885,27525,241.83739805221558,119,Instagram,Text Chat
-0.0001552104949951172,0.13900113105773926,0.019431670506795246,0.03524089570557791,0.00020062923431396484,0.0012788772583007812,0.025629043579101562,0.0014340877532958984,2.546108322378893,8.90319468486198,52,1440,455.625,553.9797914861155,52.0,60.0,822.5,8.0,0.9073490612591205,2.1153705651652417,25010.716388487854,54.89320469352616,7290,0.2914750576019287,16,8.296966552734375e-05,0.15359115600585938,0.03643438220024109,0.051273057555388184,0.001207888126373291,0.009788990020751953,0.04651832580566406,0.009250044822692871,1.4044773710309597,3.5913563025472937,52,570,118.66666666666667,161.19829058922704,52.0,52.0,60.0,0.0,2.386252931673847,6.849639725515255,3664.121413292871,30.877427640108465,1068,0.2914750576019287,9,6.9141387939453125e-06,0.14222097396850586,0.036109487215677895,0.04944286407095227,0.004494726657867432,0.015545964241027832,0.03578108549118042,0.01495051383972168,1.499978945033476,3.634831999249764,52,1440,888.8571428571429,578.26524526168,405.0,1040.0,1440.0,400.0,-0.4820498371565143,1.5843953682558414,28718.21451814355,32.30914523095546,6222,0.21665692329406738,7,Instagram,Text Chat
-0.00019598007202148438,29.94614315032959,5.680805973104529,11.687672643837844,0.0007221698760986328,0.04423785209655762,0.09182214736938477,0.043565988540649414,1.5871315339832033,3.519068410502193,52,91,74.57894736842105,19.255391014011973,52.0,91.0,91.0,0.0,-0.31980107453341616,1.102272727272727,13.483050637044743,0.18078896408175732,2834,210.18982100486755,38,0.00012493133544921875,29.94614315032959,10.006792238780431,14.064449238637028,0.04625201225280762,0.10141205787658691,29.87850308418274,0.0997779369354248,0.7070860719527847,1.5000112581846505,52,91,71.5,19.5,52.0,71.5,91.0,19.5,0.0,1.0,7.485391933538421,0.10469079627326462,1573,210.14263701438904,22,6.198883056640625e-06,30.084913969039917,14.006533257166545,14.934900038256611,0.007711887359619141,0.10714006423950195,29.975476503372192,0.10713386535644531,0.13364421983641356,1.017914207303435,52,91,78.8125,18.07698381229568,52.0,91.0,91.0,0.0,-0.8090398349558904,1.6545454545454534,6.0019610222717565,0.07615493763390016,1261,210.09799885749817,16,Instagram,Text Chat
2.86102294921875e-06,29.944958925247192,2.4787512980785564,8.03315302781125,0.0002810955047607422,0.0018520355224609375,0.059966087341308594,0.0018489360809326172,3.050157884879322,10.360527568734502,52,1399,166.76530612244898,278.2524107756434,52.0,89.0,91.0,37.0,3.4581411780173346,14.354233866171628,67.97153720628515,0.4075879976880588,16343,240.43887591362,98,4.00543212890625e-05,29.944958925247192,4.536082623139867,10.435697998526795,0.0016808509826660156,0.060133934020996094,0.27667784690856934,0.059683799743652344,1.9618906985808013,4.8845168840176925,52,1399,199.9814814814815,358.67201001496574,52.0,84.5,91.0,29.5,2.6338432241858922,8.380458509518144,44.91865204168029,0.22461405780634647,10799,240.41237902641296,54,2.86102294921875e-06,30.043102979660034,5.590207205262295,11.364177042457172,3.349781036376953e-05,0.022548913955688477,0.5407600402832031,0.022545814514160156,1.6230363103516001,3.6685089376979283,52,506,126.0,107.45294953437232,52.0,91.0,127.0,39.0,2.0029317106419913,6.44074702927133,23.0635874170768,0.1830443445799746,5544,240.3789098262787,44,Instagram,Text Chat
-0.0007581710815429688,29.93332815170288,2.2692050214083688,7.8942422479933185,7.796287536621094e-05,0.0012350082397460938,0.03571009635925293,0.0012309551239013672,3.2142510374600826,11.331528873980337,52,434,91.92592592592592,64.0233903587708,52.0,85.0,91.0,28.0,3.449994686594271,16.859883495320275,41.27453292006237,0.4489977392593409,4964,120.26786613464355,54,6.103515625e-05,29.938501119613647,4.454365412394206,10.619901998000769,0.00042998790740966797,0.02603006362915039,0.060529351234436035,0.025880098342895508,1.9808648260121084,4.923874726426472,52,434,89.60714285714286,74.53874317892593,52.0,71.5,91.0,19.5,3.6634493475099803,16.660814184617145,20.861765329660855,0.23281364257891748,2509,120.26786613464355,28,4.0531158447265625e-06,30.00701403617859,4.808583793640136,10.97330550934764,6.9141387939453125e-06,0.0012350082397460938,0.07007288932800293,0.0012309551239013672,1.8548310438884297,4.440481494581873,52,264,94.42307692307692,50.17827684821013,54.0,87.0,91.0,27.0,2.1314758638573954,7.358071276802343,20.42181320202425,0.21627989541858678,2455,120.21459484100342,26,Instagram,Text Chat
5.9604644775390625e-06,57.76241898536682,8.909196585416794,17.864066940496638,0.0019531846046447754,0.016376018524169922,0.060552775859832764,0.01627492904663086,1.6549053876995068,4.08165316489771,52,1334,519.08,606.8515416475433,52.0,78.0,1324.0,26.0,0.5826570260986693,1.3406041168347957,60.69103180621283,0.11692038184135937,12977,213.82071805000305,25,5.9604644775390625e-06,57.76241898536682,15.272908432143074,21.21035862206055,0.039510250091552734,0.05198252201080322,34.25165981054306,0.05197548866271973,0.8207768140095729,1.9653936831269214,52,1334,817.6666666666666,625.1742868103972,52.0,1323.0,1328.0,11.0,-0.4081495946215003,1.1667205180685587,57.36113933137091,0.07015222910481562,12265,213.82071805000305,15,0.00019407272338867188,57.85490012168884,23.754530668258667,22.388164593847375,0.004225015640258789,30.652078866958618,42.1296181678772,27.202821254730225,0.07725814610179384,1.3635554787475515,52,78,71.2,8.953211714239757,64.0,78.0,78.0,0.0,-0.8793552686455272,2.440018167258299,3.330358836212291,0.046774702755790605,712,213.790776014328,10,Instagram,Text Chat
-1.811981201171875e-05,25.019297122955322,0.5147688046033801,3.131805371307922,0.00032454729080200195,0.004278421401977539,0.015991568565368652,0.0042650699615478516,6.870690861786254,50.26420469860665,58,1280,484.74304068522486,510.52658535804915,65.5,108.0,1260.0,49.0,0.6748737027904347,1.6669746632205462,943.6921147093638,1.946788371371719,226375,239.88226294517517,467,1.9073486328125e-06,25.328383922576904,0.9190891300581424,4.164074093443277,1.5974044799804688e-05,0.006046772003173828,0.04593396186828613,0.006041765213012695,5.016452441816803,27.3798978474269,76,1260,667.0229007633587,552.7708063574377,76.0,684.0,1260.0,576.0,0.029370744820299086,1.1146219642601065,728.5240594880548,1.0922024695918422,174760,239.88226294517517,262,3.2901763916015625e-05,25.20558190345764,1.1738722593176598,4.672491216437716,0.002125978469848633,0.013177871704101562,0.04324895143508911,0.012936949729919434,4.352603317839039,20.91692483192477,58,1280,251.78048780487805,326.3339537580667,61.0,63.0,399.0,4.0,1.8418877098257478,5.5645062962735246,215.53853400490402,0.8560573374213954,51615,239.4699409008026,205,Instagram,Text Chat
9.5367431640625e-07,25.01840901374817,2.59230777350339,7.567153590253757,0.0013282299041748047,0.006466388702392578,0.034264564514160156,0.0064553022384643555,2.624236847322083,7.888684095844093,58,1280,725.9325842696629,582.6807053986627,76.0,1260.0,1260.0,20.0,-0.19288302513711525,1.0607619962092432,283.21552930021255,0.39014026293522347,64608,228.12308406829834,89,0.018123149871826172,25.825911045074463,9.501797835032145,12.212186538794972,0.026290833950042725,0.04645252227783203,25.120436370372772,0.02669346332550049,0.5168019672796024,1.2676927958383495,58,1280,209.36,395.48490540095196,58.0,63.0,65.0,5.0,2.3358888330196965,6.461957594580692,22.95179681989051,0.1096283760980632,5234,228.04314804077148,25,9.5367431640625e-07,25.493607997894287,3.618042556066362,8.804995139701957,0.0013755559921264648,0.005978822708129883,0.02067863941192627,0.005970001220703125,2.0407608721195585,5.166018005736357,68,1260,927.71875,515.837864205835,243.0,1260.0,1260.0,0.0,-0.949095786358248,1.9456817324664972,260.48462112869584,0.28077973106471743,59374,227.9366810321808,64,Instagram,Text Chat
