iat_min,iat_max,iat_mean,iat_std,iat_q1,iat_q2,iat_q3,iat_mad,byte_min,byte_max,byte_mean,byte_std,byte_q1,byte_q2,byte_q3,byte_mad,byte_sec,pac_sec,byte_total,duration,numPacket,fiat_min,fiat_max,fiat_mean,fiat_std,fiat_q1,fiat_q2,fiat_q3,fiat_mad,fbyte_min,fbyte_max,fbyte_mean,fbyte_std,fbyte_q1,fbyte_q2,fbyte_q3,fbyte_mad,fbyte_sec,fpac_sec,fbyte_total,fduration,fnumPacket,biat_min,biat_max,biat_mean,biat_std,biat_q1,biat_q2,biat_q3,biat_mad,bbyte_min,bbyte_max,bbyte_mean,bbyte_std,bbyte_q1,bbyte_q2,bbyte_q3,bbyte_mad,bbyte_sec,bpac_sec,bbyte_total,bduration,bnumPacket,appName,category
9.5367431640625e-07,3.046056032180786,0.6132919788360596,1.2164010069215927,7.104873657226562e-05,0.002157926559448242,0.018173933029174805,0.002156972885131836,52,91,62.5,15.46770829825802,52.0,52.0,70.0,0.0,122.29085425565042,1.9566536680904068,375,3.066459894180298,6,9.5367431640625e-07,3.066387891769409,1.0221532980600994,1.4454921438312351,3.600120544433594e-05,7.104873657226562e-05,1.5332294702529907,7.009506225585938e-05,52,91,67.75,16.618889854620253,52.0,64.0,79.75,12.0,88.37552400875003,1.3044357787269378,271,3.066459894180298,4,3.046056032180786,3.046056032180786,3.046056032180786,0.0,3.046056032180786,3.046056032180786,3.046056032180786,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,34.14251047954048,0.6565867399911631,104,3.046056032180786,2,Microsoft Teams,Audio Chat
0.0,0.025693178176879883,0.006431758403778076,0.011120589883519666,5.900859832763672e-06,1.6927719116210938e-05,0.0064427852630615234,1.2993812561035156e-05,40,76,52.0,13.145341380123988,40.0,52.0,52.0,12.0,10106.100994374785,194.34809604566897,260,0.025727033615112305,5,7.867813110351562e-06,0.025719165802001953,0.012863516807556152,0.0128556489944458,0.006435692310333252,0.012863516807556152,0.019291341304779053,0.0128556489944458,40,52,44.0,5.656854249492381,40.0,40.0,46.0,0.0,5130.78973560566,116.60885762740138,132,0.025727033615112305,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,76,64.0,12.0,58.0,64.0,70.0,12.0,128000.0,2000.0,128,0.001,2,Microsoft Teams,Audio Chat
9.5367431640625e-07,23.888477087020874,5.9792662262916565,10.339889625129512,0.008226215839385986,0.014293432235717773,5.985333442687988,0.00880897045135498,40,40,40.0,0.0,40.0,40.0,40.0,0.0,8.362230097757333,0.20905575244393335,200,23.917064905166626,5,23.899445056915283,23.899445056915283,23.899445056915283,0.0,23.899445056915283,23.899445056915283,23.899445056915283,0.0,40,40,40.0,0.0,40.0,40.0,40.0,0.0,3.34735805829316,0.083683951457329,80,23.899445056915283,2,9.5367431640625e-07,23.9060959815979,11.953048467636108,11.953047513961792,5.976524710655212,11.953048467636108,17.929572224617004,11.953047513961792,40,40,40.0,0.0,40.0,40.0,40.0,0.0,5.019639982424156,0.1254909995606039,120,23.906096935272217,3,Microsoft Teams,Audio Chat
5.0067901611328125e-06,23.153109073638916,3.8992191553115845,8.610957329245895,0.00283968448638916,0.01122748851776123,0.16758346557617188,0.01119852066040039,40,40,40.0,0.0,40.0,40.0,40.0,0.0,11.968208199607483,0.29920520499018705,280,23.395314931869507,7,0.01125788688659668,23.164364099502563,7.798438310623169,10.86568352828986,0.11547541618347168,0.21969294548034668,11.692028522491455,0.20843505859375,40,40,40.0,0.0,40.0,40.0,40.0,0.0,6.838976114061419,0.17097440285153545,160,23.395314931869507,4,5.2928924560546875e-05,23.384001970291138,11.69202744960785,11.691974520683289,5.846040189266205,11.69202744960785,17.538014709949493,11.691974520683289,40,40,40.0,0.0,40.0,40.0,40.0,0.0,5.131701944645401,0.128292548616135,120,23.3840548992157,3,Microsoft Teams,Audio Chat
5.9604644775390625e-06,20.04934597015381,3.3953823248545327,7.448260987739808,0.011207401752471924,0.04610550403594971,0.18489360809326172,0.040499091148376465,40,40,40.0,0.0,40.0,40.0,40.0,0.0,13.74415668157959,0.3436039170394897,280,20.372293949127197,7,0.09221696853637695,20.060552835464478,6.7907646497090655,9.38330114797606,0.15587055683135986,0.21952414512634277,10.14003849029541,0.12730717658996582,40,40,40.0,0.0,40.0,40.0,40.0,0.0,7.8538038180454794,0.196345095451137,160,20.372293949127197,4,0.08100199699401855,20.280079126358032,10.180540561676025,10.099538564682007,5.130771279335022,10.180540561676025,15.230309844017029,10.099538564682007,40,40,40.0,0.0,40.0,40.0,40.0,0.0,5.8935966746074415,0.14733991686518605,120,20.36108112335205,3,Microsoft Teams,Audio Chat
0.0,27.49219298362732,1.989486945302863,6.425480428160025,5.9604644775390625e-06,3.695487976074219e-05,0.018921494483947754,3.695487976074219e-05,40,913,143.85,246.38106156926912,40.0,40.0,83.0,0.0,76.1106037861072,0.5290970023365117,2877,37.800251960754395,20,0.0,27.535222053527832,4.200024339887831,8.844324180361992,9.5367431640625e-07,4.792213439941406e-05,0.037236928939819336,4.792213439941406e-05,40,824,151.6,232.20990504282975,40.0,59.0,84.0,19.0,40.105587685461614,0.26454873143444335,1516,37.80021905899048,10,4.0531158447265625e-06,27.528314113616943,4.200023783577813,8.837273277944782,8.797645568847656e-05,0.0017309188842773438,0.04306197166442871,0.0017268657684326172,40,913,136.1,259.54901271243546,40.0,40.0,71.5,0.0,36.0050871172455,0.2645487664749853,1361,37.80021405220032,10,Microsoft Teams,Audio Chat
6.699562072753906e-05,4.8431360721588135,1.0042525768280028,1.9198529427155466,0.00015115737915039062,0.08887577056884766,0.08903288841247559,0.08872461318969727,40,60,45.333333333333336,7.888106377466154,40.0,40.0,49.0,0.0,54.169639446508505,1.1949185172023935,272,5.021262884140015,6,0.08909988403320312,4.843287229537964,2.4661935567855835,2.3770936727523804,1.2776467204093933,2.4661935567855835,3.6547403931617737,2.3770936727523804,40,60,46.666666666666664,9.428090415820632,40.0,40.0,50.0,0.0,28.38382243250908,0.6082247664109088,140,4.932387113571167,3,0.08902692794799805,4.843203067779541,2.4661149978637695,2.3770880699157715,1.2775709629058838,2.4661149978637695,3.6546590328216553,2.3770880699157715,40,52,44.0,5.656854249492381,40.0,40.0,46.0,0.0,26.762742231068454,0.6082441416151921,132,4.932229995727539,3,Microsoft Teams,Audio Chat
2.1457672119140625e-06,0.08890891075134277,0.03384137153625488,0.04261995839114492,8.934736251831055e-05,0.002031087875366211,0.08879095315933228,0.002019047737121582,40,128,56.44444444444444,27.158428653248336,40.0,40.0,60.0,0.0,1876.4014907602455,33.24333349772088,508,0.27073097229003906,9,0.00038909912109375,0.08902287483215332,0.045490264892578125,0.04347471479774171,0.0028520822525024414,0.046274542808532715,0.0889127254486084,0.042674899101257324,40,68,49.6,12.026637102698327,40.0,40.0,60.0,0.0,1362.9289727463313,27.478406708595386,248,0.1819610595703125,5,2.1457672119140625e-06,0.09260392189025879,0.06062563260396322,0.042888869902840764,0.04463648796081543,0.08927083015441895,0.09093737602233887,0.0033330917358398438,40,128,65.0,36.701498607005135,40.0,46.0,71.0,6.0,1429.5383477945118,21.992897658377107,260,0.18187689781188965,4,Microsoft Teams,Audio Chat
9.059906005859375e-06,1.3574049472808838,0.34631526470184326,0.5837835269877053,0.008463740348815918,0.0139235258102417,0.35177505016326904,0.0082780122756958,52,52,52.0,0.0,52.0,52.0,52.0,0.0,187.69025401164777,3.6094279617624574,260,1.385261058807373,5,0.01657414436340332,1.3686869144439697,0.6926305294036865,0.6760563850402832,0.3546023368835449,0.6926305294036865,1.0306587219238281,0.6760563850402832,52,52,52.0,0.0,52.0,52.0,52.0,0.0,112.61415240698867,2.165656777057474,156,1.385261058807373,3,1.3739700317382812,1.3739700317382812,1.3739700317382812,0.0,1.3739700317382812,1.3739700317382812,1.3739700317382812,0.0,52,52,52.0,0.0,52.0,52.0,52.0,0.0,75.69306287446763,1.4556358245089929,104,1.3739700317382812,2,Microsoft Teams,Audio Chat
0.0,13.71188998222351,0.3085667093594869,1.959263073927239,4.088878631591797e-05,0.00022602081298828125,0.010230720043182373,0.00021660327911376953,52,1452,412.3673469387755,535.8403544568007,52.0,91.0,704.0,39.0,1364.2376852873904,3.308306769231027,20206,14.811202049255371,49,9.5367431640625e-07,13.727731943130493,0.643965306489364,2.795611909898188,9.953975677490234e-05,0.00032019615173339844,0.014536023139953613,0.0003192424774169922,52,1452,301.2916666666667,462.8751162720771,52.0,71.5,168.0,19.5,488.2115560879501,1.6203951522764213,7231,14.811202049255371,24,0.0,13.729445934295654,0.6166546642780304,2.740150387155988,0.00011235475540161133,0.0005525350570678711,0.016165554523468018,0.0005525350570678711,52,1452,519.0,577.8120109516589,52.0,91.0,1022.0,39.0,876.706252814864,1.6892220670806628,12975,14.79971194267273,25,Microsoft Teams,Audio Chat
